wals.code	glottocode	name	latitude	longitude	macroarea	genus	family	sample 100	sample 200
ykp	yukp1241	Yukpa	10.16666667	-72.75	South America	Cariban	Cariban	FALSE	FALSE
uru	uruu1244	Uru	-16.75	-69	South America	Uru-Chipaya	Uru-Chipaya	FALSE	FALSE
apu	apur1254	Apurinã	-9	-67	South America	Purus	Arawakan	TRUE	TRUE
kma	kama1373	Kamaiurá	-12.08333333	-52.58333333	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
pga	pila1245	Pilagá	-25	-60	South America	South Guaicuruan	Guaicuruan	FALSE	FALSE
mcc	moch1259	Mochica	-7.5	-79.33333333	South America	Chimúan	Chimúan	FALSE	FALSE
jpr	japr1238	Japreria	10.5	-73	South America	Cariban	Cariban	FALSE	FALSE
can	cand1248	Candoshi	-4.166666667	-77	South America	Candoshi	Candoshi	FALSE	FALSE
wao	waor1240	Waorani	-1	-76.5	South America	Waorani	Waorani	FALSE	FALSE
brs	bara1380	Barasano	-0.166666667	-70.66666667	South America	Tucanoan	Tucanoan	TRUE	TRUE
trn	tere1279	Terêna	-20	-56	South America	Bolivia-Parana	Arawakan	FALSE	FALSE
muu	mund1330	Mundurukú	-7	-58	South America	Munduruku	Tupian	FALSE	FALSE
xok	xokl1240	Xokleng	-24.5	-50	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
emb	nort2972	Emberá (Northern)	6.833333333	-77.16666667	South America	Choco	Choco	FALSE	FALSE
pia	piar1243	Piaroa	5	-67	South America	Piaroa	Sáliban	FALSE	FALSE
agr	agua1253	Aguaruna	-5	-78	South America	Jivaroan	Jivaroan	FALSE	FALSE
ika	arhu1242	Ika	10.66666667	-73.75	South America	Arhuacic	Chibchan	FALSE	TRUE
cul	culi1244	Culina	-6	-70.5	South America	Arauan	Arauan	FALSE	FALSE
bki	baka1277	Bakairí	-14	-55	South America	Cariban	Cariban	FALSE	FALSE
dam	mala1522	Damana	11	-73.5	South America	Arhuacic	Chibchan	FALSE	FALSE
kdg	kari1312	Karipuna (Panoan)	-10	-65	South America	Panoan	Panoan	FALSE	FALSE
gmb	guam1248	Guambiano	2.5	-76.66666667	South America	Barbacoan	Barbacoan	FALSE	FALSE
jwr	jama1261	Jarawara	-7.5	-65.5	South America	Arauan	Arauan	FALSE	FALSE
jmm	jama1261	Jamamadi	-7.5	-67	South America	Arauan	Arauan	FALSE	FALSE
mac	macu1259	Macushi	4	-60	South America	Cariban	Cariban	FALSE	FALSE
crj	cari1279	Carijona	1	-73	South America	Cariban	Cariban	FALSE	FALSE
umu	cari1279	Umaua	1	-72	South America	Cariban	Cariban	FALSE	FALSE
sra	sran1240	Sranan	5.833333333	-55.33333333	South America	Creoles and Pidgins	other	FALSE	FALSE
cma	chim1309	Chimila	10	-74	South America	Chimila	Chibchan	FALSE	FALSE
qay	ayac1239	Quechua (Ayacucho)	-14	-74	South America	Quechuan	Quechuan	FALSE	FALSE
coc	coca1259	Cocama	-5	-74.5	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
gav	gavi1246	Gavião	-10.66666667	-62	South America	Monde	Tupian	FALSE	FALSE
cub	cube1242	Cubeo	1.333333333	-70.5	South America	Tucanoan	Tucanoan	FALSE	FALSE
apl	apal1257	Apalaí	0	-54	South America	Cariban	Cariban	FALSE	FALSE
prt	pira1254	Piratapuyo	0.333333333	-69.5	South America	Tucanoan	Tucanoan	FALSE	FALSE
sri	siri1274	Siriano	0.75	-70.16666667	South America	Tucanoan	Tucanoan	FALSE	FALSE
cay	chac1249	Cayapa	0.666666667	-79	South America	Barbacoan	Barbacoan	FALSE	FALSE
hmi	mini1256	Huitoto (Minica)	-0.333333333	-74	South America	Huitoto	Huitotoan	FALSE	TRUE
cam	cams1241	Camsá	1.166666667	-77	South America	Camsá	Camsá	FALSE	FALSE
pau	paum1247	Paumarí	-6	-64	South America	Arauan	Arauan	FALSE	TRUE
emc	embe1262	Embera Chami	5	-76	South America	Choco	Choco	FALSE	FALSE
mov	movi1243	Movima	-13.83333333	-65.66666667	South America	Movima	Movima	FALSE	FALSE
arb	arab1268	Arabela	-2	-75.16666667	South America	Zaparoan	Zaparoan	FALSE	FALSE
shk	ship1254	Shipibo-Konibo	-7.5	-75	South America	Panoan	Panoan	FALSE	TRUE
ign	igna1246	Ignaciano	-15.16666667	-65.41666667	South America	Bolivia-Parana	Arawakan	FALSE	FALSE
jbt	djeo1235	Jabutí	-12.25	-62.25	South America	Jabutí	Macro-Ge	FALSE	FALSE
epe	epen1239	Epena Pedee	3	-77	South America	Choco	Choco	FALSE	TRUE
lul	lule1238	Lule	-28	-64	South America	Lule	Lule	FALSE	FALSE
wur	waur1244	Waurá	-13	-53	South America	Central Arawakan	Arawakan	FALSE	FALSE
sec	seco1241	Secoya	-0.333333333	-76	South America	Tucanoan	Tucanoan	FALSE	FALSE
wps	wapi1253	Wapishana	2.666666667	-60	South America	Wapishanan	Arawakan	FALSE	FALSE
tar	tari1256	Tariana	1	-69.16666667	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
map	mapu1245	Mapudungun	-38	-72	South America	Araucanian	Araucanian	TRUE	TRUE
yrr	pume1238	Yaruro	7	-68	South America	Yaruro	Yaruro	FALSE	FALSE
res	resi1247	Resígaro	-2.416666667	-71.5	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
bae	bare1276	Baré	1	-67	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
asu	toca1235	Asuriní	-3.5	-49.5	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
akw	akaw1239	Akawaio	6	-59.5	South America	Cariban	Cariban	FALSE	FALSE
prc	pare1272	Paresi	-14	-57.5	South America	Central Arawakan	Arawakan	FALSE	FALSE
wra	wara1303	Warao	9.333333333	-61.66666667	South America	Warao	Warao	TRUE	TRUE
aym	cent2142	Aymara (Central)	-17	-69	South America	Aymaran	Aymaran	FALSE	TRUE
sin	sion1247	Siona	0.333333333	-76.25	South America	Tucanoan	Tucanoan	FALSE	FALSE
nmb	sout2994	Nambikuára (Southern)	-14	-59.5	South America	Nambikuaran	Nambikuaran	FALSE	FALSE
tpt	tapi1253	Tapieté	-19.75	-61.66666667	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
bor	bora1263	Bora	-2.166666667	-72.33333333	South America	Boran	Huitotoan	FALSE	FALSE
mti	bari1297	Barí	9	-73	South America	Motilon	Chibchan	FALSE	FALSE
gyb	guay1257	Guayabero	2.833333333	-72	South America	Guahiban	Guahiban	FALSE	FALSE
kyp	kaya1330	Kayapó	-9	-52	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
cap	capa1241	Capanahua	-7	-74	South America	Panoan	Panoan	FALSE	FALSE
yag	yagu1244	Yagua	-3.5	-72	South America	Peba-Yaguan	Peba-Yaguan	TRUE	TRUE
bdc	berb1259	Berbice Dutch Creole	5.333333333	-58	South America	Creoles and Pidgins	other	FALSE	FALSE
mos	mose1249	Mosetén	-14.75	-67.83333333	South America	Mosetenan	Mosetenan	FALSE	FALSE
ore	orej1242	Orejón	-2.833333333	-72.5	South America	Tucanoan	Tucanoan	FALSE	FALSE
ndy	ndyu1242	Ndyuka	4.5	-54.5	South America	Creoles and Pidgins	other	FALSE	TRUE
bnw	bani1255	Baniwa	2.666666667	-66.83333333	South America	Inland Northern Maipuran	Arawakan	FALSE	FALSE
yrc	yura1255	Yuracare	-16.58333333	-65.25	South America	Yuracare	Yuracare	FALSE	FALSE
kwz	kwaz1243	Kwaza	-12.58333333	-60.66666667	South America	Kwaza	Kwaza	FALSE	FALSE
shi	nina1238	Shiriana	3.5	-62.83333333	South America	Yanomam	Yanomam	FALSE	FALSE
gna	guan1268	Guana	-22	-58	South America	Mascoian	Mascoian	FALSE	FALSE
mcg	maca1259	Macaguán	6.5	-71.33333333	South America	Guahiban	Guahiban	FALSE	FALSE
car	gali1262	Carib	5.5	-56	South America	Cariban	Cariban	FALSE	TRUE
cln	chol1284	Cholón	-8	-77.5	South America	Cholon	Cholon	FALSE	FALSE
tuy	tuyu1244	Tuyuca	0.5	-70.08333333	South America	Tucanoan	Tucanoan	FALSE	FALSE
urn	urar1246	Urarina	-4.5	-75.5	South America	Urarina	Urarina	FALSE	FALSE
crt	chor1274	Chorote	-22.5	-62.5	South America	Matacoan	Matacoan	FALSE	FALSE
guq	cari1279	Guaque	1	-72.08333333	South America	Cariban	Cariban	FALSE	FALSE
kdw	kadi1248	Kadiwéu	-20	-57	South America	Kadiwéu	Guaicuruan	FALSE	FALSE
tuc	tuca1252	Tucano	0.5	-69.16666667	South America	Tucanoan	Tucanoan	FALSE	FALSE
plk	pali1279	Palikur	3	-51	South America	Eastern Arawakan	Arawakan	FALSE	FALSE
api	apin1244	Apinayé	-5.5	-48	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
cbo	chac1251	Chácobo	-12.16666667	-66.75	South America	Panoan	Panoan	FALSE	FALSE
kje	kore1283	Koreguaje	1	-75.5	South America	Tucanoan	Tucanoan	FALSE	FALSE
tsr	taus1253	Taushiro	-3.25	-75.5	South America	Taushiro	Taushiro	FALSE	FALSE
kaw	kaiw1246	Kaiwá	-23	-55	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
ayr	ayor1240	Ayoreo	-20.25	-59.25	South America	Zamucoan	Zamucoan	FALSE	FALSE
tir	trio1238	Tiriyo	3.25	-55.75	South America	Cariban	Cariban	FALSE	FALSE
esm	atac1235	Esmeraldeño	0.333333333	-79.83333333	South America	Tacame	Tacame	FALSE	FALSE
cnm	kana1291	Canamarí	-6.5	-68.5	South America	Katukinan	Katukinan	FALSE	FALSE
pir	yine1238	Piro	-11	-73.5	South America	Purus	Arawakan	FALSE	FALSE
bno	waim1255	Waimaha	0.333333333	-70.25	South America	Tucanoan	Tucanoan	FALSE	FALSE
atm	kunz1244	Atacameño	-23	-69	South America	Kunza	Kunza	FALSE	FALSE
brr	boro1282	Bororo	-16	-57	South America	Bororoan	Bororoan	FALSE	FALSE
ycn	yucu1253	Yucuna	-0.75	-71	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
way	waya1270	Wayampi	1	-52	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
gku	puel1244	Gününa Küne	-41	-67	South America	Puelche	Chon	FALSE	FALSE
nad	nade1244	Nadëb	-1	-66.5	South America	Nadahup	Nadahup	FALSE	FALSE
pem	pemo1248	Pemon	5.333333333	-62	South America	Cariban	Cariban	FALSE	FALSE
acu	achu1248	Achuar	-2.66667	-76	South America	Jivaroan	Jivaroan	FALSE	FALSE
shh	shar1245	Sharanahua	-11	-70	South America	Panoan	Panoan	FALSE	FALSE
hum	muru1274	Huitoto (Murui)	-1	-73.5	South America	Huitoto	Huitotoan	FALSE	FALSE
crp	cara1272	Carapana	0.833333333	-70.75	South America	Tucanoan	Tucanoan	FALSE	FALSE
des	desa1247	Desano	0.833333333	-69.83333333	South America	Tucanoan	Tucanoan	FALSE	FALSE
abi	abip1241	Abipón	-29	-61	South America	South Guaicuruan	Guaicuruan	FALSE	TRUE
srm	sara1340	Saramaccan	4.5	-55.5	South America	Creoles and Pidgins	other	FALSE	FALSE
oma	omag1248	Omagua	-4	-73.5	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
qim	imba1240	Quechua (Imbabura)	0.333333333	-78	South America	Quechuan	Quechuan	TRUE	TRUE
qhu	huam1248	Quechua (Huallaga)	-9.5	-75.5	South America	Quechuan	Quechuan	FALSE	FALSE
qec	chim1302	Quechua (Ecuadorean)	-1	-79	South America	Quechuan	Quechuan	FALSE	FALSE
ret	tani1257	Retuarã	-0.5	-70.66666667	South America	Tucanoan	Tucanoan	FALSE	FALSE
wrk	guar1293	Warekena	1.5	-67.5	South America	Alto-Orinoco	Arawakan	FALSE	FALSE
kun	bord1248	Kuna	8	-77.33333333	South America	Kuna	Chibchan	FALSE	FALSE
cas	cash1251	Cashibo	-8.5	-75.5	South America	Panoan	Panoan	FALSE	FALSE
mcn	macu1260	Macuna	-0.333333333	-70.16666667	South America	Tucanoan	Tucanoan	FALSE	FALSE
mcv	moco1246	Mocoví	-28	-60.5	South America	South Guaicuruan	Guaicuruan	FALSE	FALSE
sel	onaa1245	Selknam	-53	-70	South America	Chon Proper	Chon	FALSE	TRUE
ful	fuln1247	Fulniô	-8	-37.5	South America	Yatê	Yatê	FALSE	FALSE
tob	toba1269	Toba	-26.5	-59	South America	South Guaicuruan	Guaicuruan	FALSE	FALSE
jaq	jaqa1244	Jaqaru	-13	-76	South America	Aymaran	Aymaran	FALSE	FALSE
rik	rikb1245	Rikbaktsa	-11.83333333	-57.5	South America	Rikbaktsa	Macro-Ge	FALSE	FALSE
msc	chib1270	Muisca	5	-74	South America	Chibcha-Duit	Chibchan	FALSE	FALSE
mpr	maip1246	Maipure	5.5	-67.5	South America	Alto-Orinoco	Arawakan	FALSE	FALSE
cax	asha1243	Campa (Axininca)	-12	-74	South America	Pre-Andine Arawakan	Arawakan	FALSE	FALSE
yrt	yuru1263	Yuruti	1	-70.41666667	South America	Tucanoan	Tucanoan	FALSE	FALSE
war	wari1268	Wari'	-11.33333333	-65	South America	Chapacura-Wanham	Chapacura-Wanham	TRUE	TRUE
cac	cacu1241	Cacua	1.083333333	-70	South America	Cacua-Nukak	Cacua-Nukak	FALSE	FALSE
iqu	iqui1243	Iquito	-3.25	-74	South America	Zaparoan	Zaparoan	FALSE	FALSE
pui	puin1248	Puinave	4	-68	South America	Puinave	Puinave	FALSE	FALSE
mpy	mapo1246	Mapoyo	6	-67	South America	Cariban	Cariban	FALSE	FALSE
gno	guan1269	Guanano	0.833333333	-69.5	South America	Tucanoan	Tucanoan	FALSE	FALSE
chu	niva1238	Nivacle	-23.5	-60.5	South America	Matacoan	Matacoan	FALSE	FALSE
kna	kari1311	Karitiâna	-9.5	-64	South America	Arikem	Tupian	FALSE	FALSE
pla	play1240	Playero	7	-71	South America	Guahiban	Guahiban	FALSE	FALSE
kng	kain1272	Kaingang	-26	-52	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
amc	amah1246	Amahuaca	-10.5	-72.5	South America	Panoan	Panoan	FALSE	FALSE
ana	arao1248	Araona	-12.33333333	-67.75	South America	Tacanan	Tacanan	FALSE	TRUE
cuc	timo1237	Cuica	9	-70.5	South America	Timote-Cuica	Timote-Cuica	FALSE	FALSE
gto	guat1253	Guató	-17	-58	South America	Guató	Guató	FALSE	FALSE
gfr	guia1246	Guianese French Creole	5	-53	South America	Creoles and Pidgins	other	FALSE	FALSE
alc	alle1238	Allentiac	-31	-68	South America	Huarpe	Huarpe	FALSE	FALSE
yam	yami1256	Yaminahua	-8	-73	South America	Panoan	Panoan	FALSE	FALSE
cui	cuib1242	Cuiba	6.5	-70	South America	Guahiban	Guahiban	FALSE	FALSE
mca	maca1260	Maca	-25	-57.5	South America	Matacoan	Matacoan	FALSE	FALSE
den	deni1241	Dení	-6	-67	South America	Arauan	Arauan	FALSE	FALSE
srn	siri1273	Sirionó	-15.58333333	-64	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
cpa	ashe1273	Campa Pajonal Asheninca	-10.66666667	-74.25	South America	Pre-Andine Arawakan	Arawakan	FALSE	FALSE
cnl	cane1242	Canela	-7	-45	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
adk	ando1256	Andoke	-0.666666667	-72	South America	Andoke	Andoke	FALSE	FALSE
wau	woun1238	Waunana	4	-77	South America	Choco	Choco	FALSE	FALSE
ese	esee1248	Ese Ejja	-11	-66	South America	Tacanan	Tacanan	FALSE	FALSE
aik	aika1237	Aikaná	-12.66666667	-60.66666667	South America	Aikaná	Aikaná	FALSE	FALSE
xav	xava1240	Xavánte	-15	-52.5	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
nom	noma1263	Nomatsiguenga	-11.66666667	-74.5	South America	Pre-Andine Arawakan	Arawakan	FALSE	FALSE
tty	tatu1247	Tatuyo	0.416666667	-70.5	South America	Tucanoan	Tucanoan	FALSE	FALSE
ara	araw1276	Arawak	5.5	-55.16666667	South America	Caribbean Arawakan	Arawakan	FALSE	FALSE
jiv	shua1257	Jivaro	-2.5	-78	South America	Jivaroan	Jivaroan	FALSE	FALSE
mui	muin1242	Muinane	-1	-72.5	South America	Boran	Huitotoan	FALSE	FALSE
ynm	yano1262	Yanomámi	2.333333333	-63	South America	Yanomam	Yanomam	FALSE	FALSE
mch	mach1267	Machiguenga	-12	-72.66666667	South America	Pre-Andine Arawakan	Arawakan	FALSE	FALSE
gjj	guaj1255	Guajajara	-5	-46	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
csh	cash1254	Cashinahua	-10.5	-71.83333333	South America	Panoan	Panoan	FALSE	FALSE
tac	taca1256	Tacana	-13.5	-68	South America	Tacanan	Tacanan	FALSE	FALSE
acg	acha1250	Achagua	4.416666667	-72.25	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE
ito	iton1250	Itonama	-12.83333333	-64.33333333	South America	Itonama	Itonama	FALSE	FALSE
pae	paez1247	Páez	2.666666667	-76	South America	Páezan	Páezan	FALSE	FALSE
kaa	karo1305	Karó (Arára)	-10.33333333	-62	South America	Ramarama	Tupian	FALSE	FALSE
zpr	zapa1253	Zaparo	-2	-76.33333333	South America	Zaparoan	Zaparoan	FALSE	FALSE
qta	nort2980	Quechua (Tarma)	-11.41666667	-75.75	South America	Quechuan	Quechuan	FALSE	FALSE
wch	wich1264	Wichí	-22.5	-62.58333333	South America	Matacoan	Matacoan	TRUE	TRUE
qca	caja1238	Quechua (Cajamarca)	-7	-78.5	South America	Quechuan	Quechuan	FALSE	FALSE
xer	xere1240	Xerénte	-10	-48.16666667	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
daw	daww1239	Dâw	-0.25	-67.08333333	South America	Nadahup	Nadahup	FALSE	FALSE
puq	puqu1242	Puquina	-16.5	-68.5	South America	Puquina	Puquina	FALSE	FALSE
jva	kara1500	Karajá	-10	-50.33333333	South America	Karajá	Macro-Ge	FALSE	FALSE
qan	chiq1249	Quechua (Ancash)	-8.5	-77.5	South America	Quechuan	Quechuan	FALSE	FALSE
tnb	ango1257	Tunebo	6.75	-72.25	South America	Tunebo	Chibchan	FALSE	FALSE
hmu	nupo1240	Huitoto (Muinane)	-2.416666667	-71	South America	Huitoto	Huitotoan	FALSE	FALSE
qco	sout2991	Quechua (Cochabamba)	-17.5	-66	South America	Quechuan	Quechuan	FALSE	FALSE
lng	leng1262	Lengua	-22.5	-59	South America	Mascoian	Mascoian	FALSE	FALSE
nuk	nuka1242	Nukak	2.5	-71.5	South America	Cacua-Nukak	Cacua-Nukak	FALSE	FALSE
cat	embe1260	Catio	7.166666667	-76.33333333	South America	Choco	Choco	FALSE	FALSE
krh	krah1246	Krahô	-8	-48	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
lec	leco1242	Leko	-15	-67.91666667	South America	Leko	Leko	FALSE	FALSE
eme	emer1243	Émérillon	3.166666667	-52.41666667	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
kyz	kaya1329	Kayabí	-11	-55.5	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
kno	kano1245	Kanoê	-13.25	-61	South America	Kapixana	Kapixana	FALSE	FALSE
cpy	chip1262	Chipaya	-18.75	-67.83333333	South America	Uru-Chipaya	Uru-Chipaya	FALSE	FALSE
kkq	kuik1246	Kuikúro	-12.41666667	-53.08333333	South America	Cariban	Cariban	FALSE	FALSE
pnx	pana1307	Panará	-10	-55	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE
kqq	kren1239	Krenak	-15.5	-41	South America	Botocudo	Macro-Ge	FALSE	FALSE
iga	inga1252	Inga	1	-77	South America	Quechuan	Quechuan	FALSE	FALSE
qbo	boli1262	Quechua (Bolivian)	-20	-66	South America	Quechuan	Quechuan	FALSE	FALSE
lsa	arge1236	Lengua de Señas Argentina	-34	-63	South America	Sign Languages	other	FALSE	FALSE
usl	urub1243	Urubú Sign Language	-2.333333333	-46	South America	Sign Languages	other	FALSE	FALSE
lsb	braz1236	Língua de Sinais Brasileira	-15	-48	South America	Sign Languages	other	FALSE	FALSE
mts	mati1255	Matis	-4.416666667	-70.25	South America	Panoan	Panoan	FALSE	FALSE
jum	juma1249	Júma	-7.5	-64	South America	Tupi-Guaraní	Tupian	FALSE	FALSE
mek	saki1248	Mekens	-12.5	-61.5	South America	Tupari	Tupian	FALSE	FALSE
qcu	cusc1236	Quechua (Cuzco)	-14.5	-71	South America	Quechuan	Quechuan	FALSE	FALSE
mkw	maku1246	Máku	0.416666667	-69.83333333	South America	Máku	Máku	FALSE	FALSE
bnv	bani1254	Baniva	5.26	-67.56	South America	Alto-Orinoco	Arawakan	FALSE	FALSE
bnn	bann1247	Banoni	-6.416666667	155.25	Papunesia	Oceanic	Austronesian	FALSE	FALSE
ard	aran1237	Arandai	-2.083333333	133	Papunesia	South Bird's Head Proper	South Bird's Head	FALSE	FALSE
mnm	mana1295	Manam	-4	145	Papunesia	Oceanic	Austronesian	FALSE	FALSE
pil	pile1238	Pileni	-10.21666667	166.2166667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
nbk	natu1246	Natügu	-10.78333333	165.8666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
nmd	samo1303	Samo	-6.166666667	142.25	Papunesia	East Strickland	East Strickland	FALSE	FALSE
arx	area1240	'Are'are	-9.25	161.1666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
tid	tido1248	Tidore	0.75	127.5	Papunesia	North Halmaheran	West Papuan	FALSE	FALSE
sgb	mani1235	Sougb	-1.5	134	Papunesia	East Bird's Head	East Bird's Head	FALSE	FALSE
knp	ngka1235	Kanum (Ngkâlmpw)	-8.666666667	140.9166667	Papunesia	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	FALSE	FALSE
knb	badi1247	Kanum (Bädi)	-8.833333333	140.75	Papunesia	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	FALSE	FALSE
mor	morm1235	Mor	-2.95	135.75	Papunesia	South Halmahera - West New Guinea	Austronesian	FALSE	FALSE
rag	hano1246	Raga	-15.5	168.1666667	Papunesia	Oceanic	Austronesian	FALSE	FALSE
sim	sime1241	Simeulue	2.5	96.25	Papunesia	Northwest Sumatra-Barrier Islands	Austronesian	FALSE	FALSE
sul	sulk1246	Sulka	-5.083333333	151.9166667	Papunesia	Sulka	Sulka	FALSE	FALSE
ang	ango1254	Anggor	-3.75	141.1666667	Papunesia	Senagi	Senagi	FALSE	FALSE
kiu	kuii1253	Kui (in Indonesia)	-8.433333333	124.55	Papunesia	Greater Alor	Timor-Alor-Pantar	FALSE	FALSE
saa	saaa1240	Sa'a	-9.616666667	161.45	Papunesia	Oceanic	Austronesian	FALSE	FALSE
krb	gilb1244	Kiribati	1.333333333	173	Papunesia	Oceanic	Austronesian	FALSE	TRUE
isn	isna1241	Isnag	18.25	121	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
ilo	ilok1237	Ilocano	16	121	Papunesia	Northern Luzon	Austronesian	FALSE	FALSE
brk	beri1254	Berik	-2.25	138.8333333	Papunesia	Tor	Tor-Orya	FALSE	FALSE
