"wals.code"	"name"	"value"	"description"	"latitude"	"longitude"	"genus"	"family"	"area"	"macroarea"
"arm"	"Armenian (Eastern)"	1	"No tones"	40	45	"Armenian"	"Indo-European"	"Phonology"	"Eurasia"
"amp"	"Arrernte (Mparntwe)"	1	"No tones"	-24	136	"Central Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"asm"	"Asmat"	1	"No tones"	-5.5	138.5	"Asmat-Kamoro"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"ata"	"Atayal"	1	"No tones"	24.5	121.333333333	"Atayalic"	"Austronesian"	"Phonology"	"Papunesia"
"ava"	"Avar"	1	"No tones"	42.5	46.5	"Avar-Andic-Tsezic"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"awp"	"Awa Pit"	1	"No tones"	1.5	-78.25	"Barbacoan"	"Barbacoan"	"Phonology"	"South America"
"awn"	"Awngi"	2	"Simple tone system"	10.8333333333	36.6666666667	"Central Cushitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"aym"	"Aymara (Central)"	1	"No tones"	-17	-69	"Aymaran"	"Aymaran"	"Phonology"	"South America"
"aze"	"Azerbaijani"	1	"No tones"	40.5	48.5	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"bag"	"Bagirmi"	3	"Complex tone system"	11.6666666667	16	"Bongo-Bagirmi"	"Central Sudanic"	"Phonology"	"Africa"
"bai"	"Bai"	3	"Complex tone system"	26	100	"Bai"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"baj"	"Bajau (Sama)"	1	"No tones"	-4.33333333333	123	"Sama-Bajaw"	"Austronesian"	"Phonology"	"Papunesia"
"bki"	"Bakairí"	1	"No tones"	-14	-55	"Cariban"	"Cariban"	"Phonology"	"South America"
"bam"	"Bambara"	2	"Simple tone system"	12.5	-7.5	"Western Mande"	"Mande"	"Phonology"	"Africa"
"byu"	"Bandjalang (Yugumbir)"	1	"No tones"	-27.9166666667	153	"Southeastern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"brd"	"Bardi"	1	"No tones"	-16.5833333333	122.916666667	"Nyulnyulan"	"Nyulnyulan"	"Phonology"	"Australia"
"brb"	"Bariba"	3	"Complex tone system"	10	2.5	"Southern-Central Gur"	"Niger-Congo"	"Phonology"	"Africa"
"bsk"	"Bashkir"	1	"No tones"	53	58	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"bsq"	"Basque"	1	"No tones"	43	-3	"Basque"	"Basque"	"Phonology"	"Eurasia"
"bkr"	"Batak (Karo)"	1	"No tones"	3.25	98.25	"Northwest Sumatra-Barrier Islands"	"Austronesian"	"Phonology"	"Papunesia"
"bto"	"Batak (Toba)"	1	"No tones"	2.5	99	"Northwest Sumatra-Barrier Islands"	"Austronesian"	"Phonology"	"Papunesia"
"baw"	"Bawm"	2	"Simple tone system"	22.5	92.25	"Kuki-Chin"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"bee"	"Beembe"	2	"Simple tone system"	-3.91666666667	14.0833333333	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"bej"	"Beja"	2	"Simple tone system"	18	36	"Beja"	"Afro-Asiatic"	"Phonology"	"Africa"
"bco"	"Bella Coola"	1	"No tones"	52.5	-126.666666667	"Bella Coola"	"Salishan"	"Phonology"	"North America"
"ben"	"Bengali"	1	"No tones"	24	90	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"bma"	"Berber (Middle Atlas)"	1	"No tones"	33	-5	"Berber"	"Afro-Asiatic"	"Phonology"	"Africa"
"ber"	"Berta"	2	"Simple tone system"	10.3333333333	34.6666666667	"Berta"	"Berta"	"Phonology"	"Africa"
"bir"	"Birom"	3	"Complex tone system"	9.66666666667	8.83333333333	"Platoid"	"Niger-Congo"	"Phonology"	"Africa"
"bis"	"Bisa"	1	"No tones"	11.5	-0.5	"Eastern Mande"	"Mande"	"Phonology"	"Africa"
"bbf"	"Bobo Madaré (Northern)"	3	"Complex tone system"	12.4166666666667	-4.3333333333333	"Western Mande"	"Mande"	"Phonology"	"Africa"
"bod"	"Bodo"	2	"Simple tone system"	26.8333333333	92	"Bodo-Garo"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"brr"	"Bororo"	1	"No tones"	-16	-57	"Bororoan"	"Bororoan"	"Phonology"	"South America"
"brh"	"Brahui"	1	"No tones"	28.5	67	"Northern Dravidian"	"Dravidian"	"Phonology"	"Eurasia"
"bre"	"Breton"	1	"No tones"	48	-3	"Celtic"	"Indo-European"	"Phonology"	"Eurasia"
"brw"	"Bru (Western)"	1	"No tones"	16.75	104.75	"Katuic"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"bul"	"Bulgarian"	1	"No tones"	42.5	25	"Slavic"	"Indo-European"	"Phonology"	"Eurasia"
"bua"	"Burarra"	1	"No tones"	-12.25	134.583333333	"Burarran"	"Mangrida"	"Phonology"	"Australia"
"brm"	"Burmese"	3	"Complex tone system"	21	96	"Burmese-Lolo"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"bur"	"Burushaski"	1	"No tones"	36.5	74.5	"Burushaski"	"Burushaski"	"Phonology"	"Eurasia"
"bet"	"Bété"	3	"Complex tone system"	6.25	-6.25	"Kru"	"Niger-Congo"	"Phonology"	"Africa"
"cac"	"Cacua"	2	"Simple tone system"	1.08333333333	-70	"Cacua-Nukak"	"Cacua-Nukak"	"Phonology"	"South America"
"cad"	"Caddo"	2	"Simple tone system"	33.3333333333	-93.5	"Caddoan"	"Caddoan"	"Phonology"	"North America"
"cah"	"Cahuilla"	1	"No tones"	33.5	-116.25	"California Uto-Aztecan"	"Uto-Aztecan"	"Phonology"	"North America"
"cax"	"Campa (Axininca)"	1	"No tones"	-12	-74	"Pre-Andine Arawakan"	"Arawakan"	"Phonology"	"South America"
"cam"	"Camsá"	1	"No tones"	1.16666666667	-77	"Camsá"	"Camsá"	"Phonology"	"South America"
"cnl"	"Canela"	1	"No tones"	-7	-45	"Ge-Kaingang"	"Macro-Ge"	"Phonology"	"South America"
"cnt"	"Cantonese"	3	"Complex tone system"	23	113	"Chinese"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"car"	"Carib"	1	"No tones"	5.5	-56	"Cariban"	"Cariban"	"Phonology"	"South America"
"ctl"	"Catalan"	1	"No tones"	41.75	2	"Romance"	"Indo-European"	"Phonology"	"Eurasia"
"cyv"	"Cayuvava"	1	"No tones"	-13.5	-65.5	"Cayuvava"	"Cayuvava"	"Phonology"	"South America"
"chw"	"Cham (Western)"	2	"Simple tone system"	12	105.5	"Malayo-Sumbawan"	"Austronesian"	"Phonology"	"Eurasia"
"cha"	"Chamorro"	1	"No tones"	13.45	144.75	"Chamorro"	"Austronesian"	"Phonology"	"Papunesia"
"cso"	"Chatino (Sierra Occidental)"	3	"Complex tone system"	16.25	-97.3333333333	"Zapotecan"	"Oto-Manguean"	"Phonology"	"North America"
"chl"	"Chehalis (Upper)"	1	"No tones"	46.5833333333	-123	"Tsamosan"	"Salishan"	"Phonology"	"North America"
"che"	"Cherokee"	2	"Simple tone system"	35.5	-83.5	"Southern Iroquoian"	"Iroquoian"	"Phonology"	"North America"
"cck"	"Chickasaw"	1	"No tones"	34	-88	"Muskogean"	"Muskogean"	"Phonology"	"North America"
"cti"	"Chin (Tiddim)"	3	"Complex tone system"	23.3333333333	93.6666666667	"Kuki-Chin"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"cle"	"Chinantec (Lealao)"	3	"Complex tone system"	17.3333333333	-95.9166666667	"Chinantecan"	"Oto-Manguean"	"Phonology"	"North America"
"chq"	"Chinantec (Quiotepec)"	3	"Complex tone system"	17.5833333333	-96.6666666667	"Chinantecan"	"Oto-Manguean"	"Phonology"	"North America"
"chp"	"Chipewyan"	2	"Simple tone system"	59	-106	"Athapaskan"	"Na-Dene"	"Phonology"	"North America"
"chk"	"Chukchi"	1	"No tones"	67	-173	"Northern Chukotko-Kamchatkan"	"Chukotko-Kamchatkan"	"Phonology"	"Eurasia"
"chv"	"Chuvash"	1	"No tones"	55.5	47.5	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"cil"	"CiLuba"	2	"Simple tone system"	-6	22	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"ccp"	"Cocopa"	1	"No tones"	32.3333333333	-115	"Yuman"	"Hokan"	"Phonology"	"North America"
"cmn"	"Comanche"	1	"No tones"	33.5	-101.5	"Numic"	"Uto-Aztecan"	"Phonology"	"North America"
"coo"	"Coos (Hanis)"	1	"No tones"	43.5	-124.166666667	"Coosan"	"Oregon Coast"	"Phonology"	"North America"
"cre"	"Cree (Plains)"	1	"No tones"	54	-110	"Algonquian"	"Algic"	"Phonology"	"North America"
"cub"	"Cubeo"	2	"Simple tone system"	1.33333333333	-70.5	"Tucanoan"	"Tucanoan"	"Phonology"	"South America"
"dad"	"Dadibi"	2	"Simple tone system"	-6.55	144.583333333	"Teberan"	"Teberan-Pawaian"	"Phonology"	"Papunesia"
"dgb"	"Dagbani"	2	"Simple tone system"	9.58333333333	-0.5	"Northern-Central Gur"	"Niger-Congo"	"Phonology"	"Africa"
"dgr"	"Dagur"	1	"No tones"	48	124	"Mongolic"	"Altaic"	"Phonology"	"Eurasia"
"dah"	"Dahalo"	2	"Simple tone system"	-2.33333333333	40.5	"Dahalo"	"Afro-Asiatic"	"Phonology"	"Africa"
"ddf"	"Daju (Dar Fur)"	1	"No tones"	12.25	25.25	"Daju"	"Eastern Sudanic"	"Phonology"	"Africa"
"dan"	"Dan"	3	"Complex tone system"	7.5	-8	"Eastern Mande"	"Mande"	"Phonology"	"Africa"
"dnw"	"Dangaléat (Western)"	2	"Simple tone system"	12.1666666667	18.3333333333	"East Chadic"	"Afro-Asiatic"	"Phonology"	"Africa"
"dni"	"Dani (Lower Grand Valley)"	1	"No tones"	-4.33333333333	138.833333333	"Dani"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"dar"	"Darai"	1	"No tones"	24	84	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"det"	"Deti"	2	"Simple tone system"	-20.5	24.5	"Khoe-Kwadi"	"Khoe-Kwadi"	"Phonology"	"Africa"
"die"	"Diegueño (Mesa Grande)"	1	"No tones"	32.6666666667	-116.166666667	"Yuman"	"Hokan"	"Phonology"	"North America"
"din"	"Dinka"	3	"Complex tone system"	8.5	28	"Nilotic"	"Eastern Sudanic"	"Phonology"	"Africa"
"dio"	"Diola-Fogny"	1	"No tones"	13	-16.25	"Bak"	"Niger-Congo"	"Phonology"	"Africa"
"diy"	"Diyari"	1	"No tones"	-28	139	"Central Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"diz"	"Dizi"	3	"Complex tone system"	6.16666666667	36.5	"Dizoid"	"Afro-Asiatic"	"Phonology"	"Africa"
"djp"	"Djapu"	1	"No tones"	-12.6666666667	136	"Western Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"der"	"Dla (Proper)"	1	"No tones"	-3.58333333333	141	"Senagi"	"Senagi"	"Phonology"	"Papunesia"
"don"	"Dong (Southern)"	3	"Complex tone system"	27	109	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"doy"	"Doyayo"	3	"Complex tone system"	8.66666666667	13.0833333333	"Samba-Duru"	"Niger-Congo"	"Phonology"	"Africa"
"dre"	"Drehu"	1	"No tones"	-21	167.25	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"dum"	"Dumo"	3	"Complex tone system"	-2.68333333333	141.3	"Western Skou"	"Skou"	"Phonology"	"Papunesia"
"dyi"	"Dyirbal"	1	"No tones"	-17.8333333333	145.583333333	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"efi"	"Efik"	2	"Simple tone system"	4.91666666667	8.5	"Cross River"	"Niger-Congo"	"Phonology"	"Africa"
"eja"	"Ejagham"	3	"Complex tone system"	5.41666666667	8.66666666667	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"eka"	"Ekari"	2	"Simple tone system"	-3.83333333333	135.5	"Wissel Lakes-Kemandoga"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"eng"	"English"	1	"No tones"	52	0	"Germanic"	"Indo-European"	"Phonology"	"Eurasia"
"epe"	"Epena Pedee"	1	"No tones"	3	-77	"Choco"	"Choco"	"Phonology"	"South America"
"evn"	"Even"	1	"No tones"	68	130	"Tungusic"	"Altaic"	"Phonology"	"Eurasia"
"eve"	"Evenki"	1	"No tones"	56	125	"Tungusic"	"Altaic"	"Phonology"	"Eurasia"
"ewe"	"Ewe"	2	"Simple tone system"	6.33333333333	0.416666666667	"Kwa"	"Niger-Congo"	"Phonology"	"Africa"
"ewo"	"Ewondo"	3	"Complex tone system"	4	12	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"eya"	"Eyak"	1	"No tones"	60.5	-145	"Eyak"	"Na-Dene"	"Phonology"	"North America"
"fas"	"Fasu"	2	"Simple tone system"	-6.58333333333	143.333333333	"Fasu"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"fef"	"Fe'fe'"	3	"Complex tone system"	5.25	10.1666666667	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"fij"	"Fijian"	1	"No tones"	-17.8333333333	178	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"fin"	"Finnish"	1	"No tones"	62	25	"Finnic"	"Uralic"	"Phonology"	"Eurasia"
"fre"	"French"	1	"No tones"	48	2	"Romance"	"Indo-European"	"Phonology"	"Eurasia"
"ful"	"Fulniô"	2	"Simple tone system"	-8	-37.5	"Yatê"	"Yatê"	"Phonology"	"South America"
"fur"	"Fur"	2	"Simple tone system"	13.5	25	"Fur"	"Fur"	"Phonology"	"Africa"
"fuz"	"Fuzhou"	3	"Complex tone system"	26	119.5	"Chinese"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"fye"	"Fyem"	2	"Simple tone system"	9.58333333333	9.33333333333	"Platoid"	"Niger-Congo"	"Phonology"	"Africa"
"gds"	"Gadsup"	3	"Complex tone system"	-6.25	146	"Eastern Highlands"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"gar"	"Garo"	1	"No tones"	25.6666666667	90.5	"Bodo-Garo"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"grr"	"Garrwa"	1	"No tones"	-17.0833333333	137.166666667	"Garrwan"	"Garrwan"	"Phonology"	"Australia"
"gbb"	"Gbeya Bossangoa"	2	"Simple tone system"	6.66666666667	17.5	"Gbaya-Manza-Ngbaka"	"Niger-Congo"	"Phonology"	"Africa"
"gla"	"Gelao"	3	"Complex tone system"	22.9166666667	105.5	"Kadai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"geo"	"Georgian"	1	"No tones"	42	44	"Kartvelian"	"Kartvelian"	"Phonology"	"Eurasia"
"ger"	"German"	1	"No tones"	52	10	"Germanic"	"Indo-European"	"Phonology"	"Eurasia"
"goo"	"Gooniyandi"	1	"No tones"	-18.3333333333	126.333333333	"Bunuban"	"Bunuban"	"Phonology"	"Australia"
"gan"	"Great Andamanese"	1	"No tones"	12	92.6666666667	"Great Andamanese"	"Great Andamanese"	"Phonology"	"Eurasia"
"grb"	"Grebo"	3	"Complex tone system"	5	-8	"Kru"	"Niger-Congo"	"Phonology"	"Africa"
"grk"	"Greek (Modern)"	1	"No tones"	39	22	"Greek"	"Indo-European"	"Phonology"	"Eurasia"
"grw"	"Greenlandic (West)"	1	"No tones"	64	-51	"Eskimo"	"Eskimo-Aleut"	"Phonology"	"Eurasia"
"gua"	"Guaraní"	1	"No tones"	-26	-56	"Tupi-Guaraní"	"Tupian"	"Phonology"	"South America"
"gwa"	"Gwari"	3	"Complex tone system"	9.5	7	"Nupoid"	"Niger-Congo"	"Phonology"	"Africa"
"ga"	"Gã"	3	"Complex tone system"	5.66666666667	-0.166666666667	"Kwa"	"Niger-Congo"	"Phonology"	"Africa"
"had"	"Hadza"	2	"Simple tone system"	-3.75	35.1666666667	"Hadza"	"Hadza"	"Phonology"	"Africa"
"hai"	"Haida"	1	"No tones"	53	-132	"Haida"	"Haida"	"Phonology"	"North America"
"hak"	"Hakka"	3	"Complex tone system"	25	116	"Chinese"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"hmr"	"Hamer"	2	"Simple tone system"	5	36.5	"South Omotic"	"Afro-Asiatic"	"Phonology"	"Africa"
"ham"	"Hamtai"	2	"Simple tone system"	-7.5	146.25	"Angan"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"hau"	"Hausa"	2	"Simple tone system"	12	7	"West Chadic"	"Afro-Asiatic"	"Phonology"	"Africa"
"haw"	"Hawaiian"	1	"No tones"	19.5833333333	-155.5	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"hba"	"Hebrew (Modern Ashkenazic)"	1	"No tones"	31.75	35.1666666667	"Semitic"	"Afro-Asiatic"	"Phonology"	"Eurasia"
"hin"	"Hindi"	1	"No tones"	25	77	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"hix"	"Hixkaryana"	1	"No tones"	-1	-59	"Cariban"	"Cariban"	"Phonology"	"South America"
"hmo"	"Hmong Njua"	3	"Complex tone system"	28	105	"Hmong-Mien"	"Hmong-Mien"	"Phonology"	"Eurasia"
"hop"	"Hopi"	2	"Simple tone system"	36	-110	"Hopi"	"Uto-Aztecan"	"Phonology"	"North America"
"htc"	"Huastec"	1	"No tones"	22.0833333333	-99.3333333333	"Mayan"	"Mayan"	"Phonology"	"North America"
"hve"	"Huave (San Mateo del Mar)"	2	"Simple tone system"	16.2166666667	-95	"Huavean"	"Huavean"	"Phonology"	"North America"
"hum"	"Huitoto (Murui)"	1	"No tones"	-1	-73.5	"Huitoto"	"Huitotoan"	"Phonology"	"South America"
"hun"	"Hungarian"	1	"No tones"	47	20	"Ugric"	"Uralic"	"Phonology"	"Eurasia"
"hzb"	"Hunzib"	1	"No tones"	42.1666666667	46.25	"Avar-Andic-Tsezic"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"hup"	"Hupa"	1	"No tones"	41.0833333333	-123.666666667	"Athapaskan"	"Na-Dene"	"Phonology"	"North America"
"iaa"	"Iaai"	1	"No tones"	-20.4166666667	166.583333333	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"iba"	"Iban"	1	"No tones"	2	112	"Malayo-Sumbawan"	"Austronesian"	"Phonology"	"Papunesia"
"igb"	"Igbo"	2	"Simple tone system"	6	7.33333333333	"Igboid"	"Niger-Congo"	"Phonology"	"Africa"
"ijo"	"Ijo (Kolokuma)"	2	"Simple tone system"	4.91666666667	5.66666666667	"Ijoid"	"Ijoid"	"Phonology"	"Africa"
"ik"	"Ik"	2	"Simple tone system"	3.75	34.1666666667	"Kuliak"	"Eastern Sudanic"	"Phonology"	"Africa"
"ika"	"Ika"	1	"No tones"	10.6666666667	-73.75	"Arhuacic"	"Chibchan"	"Phonology"	"South America"
"imo"	"Imonda"	1	"No tones"	-3.33333333333	141.166666667	"Border"	"Border"	"Phonology"	"Papunesia"
"ind"	"Indonesian"	1	"No tones"	0	106	"Malayo-Sumbawan"	"Austronesian"	"Phonology"	"Papunesia"
"igs"	"Ingessana"	2	"Simple tone system"	11.5	34	"Eastern Jebel"	"Eastern Sudanic"	"Phonology"	"Africa"
"ing"	"Ingush"	1	"No tones"	43.1666666667	45.0833333333	"Nakh"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"irx"	"Iranxe"	1	"No tones"	-13	-58	"Iranxe"	"Iranxe"	"Phonology"	"South America"
"irq"	"Iraqw"	2	"Simple tone system"	-4	35.5	"Southern Cushitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"irr"	"Irarutu"	1	"No tones"	-3	133.5	"South Halmahera - West New Guinea"	"Austronesian"	"Phonology"	"Papunesia"
"ird"	"Irish (Donegal)"	1	"No tones"	55	-8	"Celtic"	"Indo-European"	"Phonology"	"Eurasia"
"iso"	"Isoko"	2	"Simple tone system"	5.5	6.25	"Edoid"	"Niger-Congo"	"Phonology"	"Africa"
"iva"	"Ivatan"	1	"No tones"	20.5	122	"Batanic"	"Austronesian"	"Phonology"	"Papunesia"
"jak"	"Jakaltek"	1	"No tones"	15.6666666667	-91.6666666667	"Mayan"	"Mayan"	"Phonology"	"North America"
"jpn"	"Japanese"	2	"Simple tone system"	37	140	"Japanese"	"Japanese"	"Phonology"	"Eurasia"
"jpr"	"Japreria"	1	"No tones"	10.5	-73	"Cariban"	"Cariban"	"Phonology"	"South America"
"jaq"	"Jaqaru"	1	"No tones"	-13	-76	"Aymaran"	"Aymaran"	"Phonology"	"South America"
"jav"	"Javanese"	1	"No tones"	-7	111	"Javanese"	"Austronesian"	"Phonology"	"Papunesia"
"jeb"	"Jebero"	1	"No tones"	-5.41666666667	-76.5	"Cahuapanan"	"Cahuapanan"	"Phonology"	"South America"
"jeh"	"Jeh"	1	"No tones"	15.1666666667	107.833333333	"Bahnaric"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"jng"	"Jingpho"	3	"Complex tone system"	25.4166666667	97	"Jingpho"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"jom"	"Jomang"	2	"Simple tone system"	10.5833333333	30.5	"Talodi"	"Kordofanian"	"Phonology"	"Africa"
"juh"	"Ju|'hoan"	3	"Complex tone system"	-19	21	"Ju-Kung"	"Kxa"	"Phonology"	"Africa"
"kab"	"Kabardian"	1	"No tones"	43.5	43.5	"Northwest Caucasian"	"Northwest Caucasian"	"Phonology"	"Eurasia"
"kad"	"Kadugli"	3	"Complex tone system"	11	29.6666666667	"Kadugli"	"Kadu"	"Phonology"	"Africa"
"kng"	"Kaingang"	1	"No tones"	-26	-52	"Ge-Kaingang"	"Macro-Ge"	"Phonology"	"South America"
"kly"	"Kala Lagaw Ya"	1	"No tones"	-10.1166666667	142.116666667	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Papunesia"
"kal"	"Kalami"	2	"Simple tone system"	35.5	72.5	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"kgu"	"Kalkatungu"	1	"No tones"	-21	139.5	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"knk"	"Kanakuru"	2	"Simple tone system"	10	12	"West Chadic"	"Afro-Asiatic"	"Phonology"	"Africa"
"knd"	"Kannada"	1	"No tones"	14	76	"Southern Dravidian"	"Dravidian"	"Phonology"	"Eurasia"
"knr"	"Kanuri"	2	"Simple tone system"	12	13	"Western Saharan"	"Saharan"	"Phonology"	"Africa"
"ksg"	"Karen (Sgaw)"	3	"Complex tone system"	18	97	"Karen"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"krk"	"Karok"	2	"Simple tone system"	41.6666666667	-123	"Karok"	"Karok"	"Phonology"	"North America"
"kas"	"Kashmiri"	1	"No tones"	34	76	"Indic"	"Indo-European"	"Phonology"	"Eurasia"
"kws"	"Kawaiisu"	1	"No tones"	36	-117.5	"Numic"	"Uto-Aztecan"	"Phonology"	"North America"
"kyl"	"Kayah Li (Eastern)"	3	"Complex tone system"	19	97.5	"Karen"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"kay"	"Kayardild"	1	"No tones"	-17.05	139.5	"Tangkic"	"Tangkic"	"Phonology"	"Australia"
"ked"	"Kedang"	1	"No tones"	-8.25	123.75	"Central Malayo-Polynesian"	"Austronesian"	"Phonology"	"Papunesia"
"kef"	"Kefa"	2	"Simple tone system"	7.25	36.25	"South Omotic"	"Afro-Asiatic"	"Phonology"	"Africa"
